2026-02-22,16:25,USD,AUD,1.419
2026-02-22,16:25,USD,BRL,5.2144
2026-02-22,16:25,USD,CAD,1.3693
2026-02-22,16:25,USD,CHF,0.77607
2026-02-22,16:25,USD,CNY,6.9086
2026-02-22,16:25,USD,CZK,20.601
2026-02-22,16:25,USD,DKK,6.3496
2026-02-22,16:25,USD,EUR,0.84983
2026-02-22,16:25,USD,GBP,0.74174
2026-02-22,16:25,USD,HKD,7.8152
2026-02-22,16:25,USD,HUF,322.64
2026-02-22,16:25,USD,IDR,16889
2026-02-22,16:25,USD,ILS,3.1259
2026-02-22,16:25,USD,INR,90.95
2026-02-22,16:25,USD,ISK,123.14
2026-02-22,16:25,USD,JPY,155.21
2026-02-22,16:25,USD,KRW,1449.66
2026-02-22,16:25,USD,MXN,17.2006
2026-02-22,16:25,USD,MYR,3.903
2026-02-22,16:25,USD,NOK,9.564
2026-02-22,16:25,USD,NZD,1.6795
2026-02-22,16:25,USD,PHP,58.152
2026-02-22,16:25,USD,PLN,3.5895
2026-02-22,16:25,USD,RON,4.3323
2026-02-22,16:25,USD,SEK,9.0716
2026-02-22,16:25,USD,SGD,1.2689
2026-02-22,16:25,USD,THB,31.205
2026-02-22,16:25,USD,TRY,43.846
2026-02-22,16:25,USD,ZAR,16.0973
2026-02-22,18:32,USD,AUD,1.419
2026-02-22,18:32,USD,BRL,5.2144
2026-02-22,18:32,USD,CAD,1.3693
2026-02-22,18:32,USD,CHF,0.77607
2026-02-22,18:32,USD,CNY,6.9086
2026-02-22,18:32,USD,CZK,20.601
2026-02-22,18:32,USD,DKK,6.3496
2026-02-22,18:32,USD,EUR,0.84983
2026-02-22,18:32,USD,GBP,0.74174
2026-02-22,18:32,USD,HKD,7.8152
2026-02-22,18:32,USD,HUF,322.64
2026-02-22,18:32,USD,IDR,16889
2026-02-22,18:32,USD,ILS,3.1259
2026-02-22,18:32,USD,INR,90.95
2026-02-22,18:32,USD,ISK,123.14
2026-02-22,18:32,USD,JPY,155.21
2026-02-22,18:32,USD,KRW,1449.66
2026-02-22,18:32,USD,MXN,17.2006
2026-02-22,18:32,USD,MYR,3.903
2026-02-22,18:32,USD,NOK,9.564
2026-02-22,18:32,USD,NZD,1.6795
2026-02-22,18:32,USD,PHP,58.152
2026-02-22,18:32,USD,PLN,3.5895
2026-02-22,18:32,USD,RON,4.3323
2026-02-22,18:32,USD,SEK,9.0716
2026-02-22,18:32,USD,SGD,1.2689
2026-02-22,18:32,USD,THB,31.205
2026-02-22,18:32,USD,TRY,43.846
2026-02-22,18:32,USD,ZAR,16.0973
2026-02-23,08:40,USD,AUD,1.419
2026-02-23,08:40,USD,BRL,5.2144
2026-02-23,08:40,USD,CAD,1.3693
2026-02-23,08:40,USD,CHF,0.77607
2026-02-23,08:40,USD,CNY,6.9086
2026-02-23,08:40,USD,CZK,20.601
2026-02-23,08:40,USD,DKK,6.3496
2026-02-23,08:40,USD,EUR,0.84983
2026-02-23,08:40,USD,GBP,0.74174
2026-02-23,08:40,USD,HKD,7.8152
2026-02-23,08:40,USD,HUF,322.64
2026-02-23,08:40,USD,IDR,16889
2026-02-23,08:40,USD,ILS,3.1259
2026-02-23,08:40,USD,INR,90.95
2026-02-23,08:40,USD,ISK,123.14
2026-02-23,08:40,USD,JPY,155.21
2026-02-23,08:40,USD,KRW,1449.66
2026-02-23,08:40,USD,MXN,17.2006
2026-02-23,08:40,USD,MYR,3.903
2026-02-23,08:40,USD,NOK,9.564
2026-02-23,08:40,USD,NZD,1.6795
2026-02-23,08:40,USD,PHP,58.152
2026-02-23,08:40,USD,PLN,3.5895
2026-02-23,08:40,USD,RON,4.3323
2026-02-23,08:40,USD,SEK,9.0716
2026-02-23,08:40,USD,SGD,1.2689
2026-02-23,08:40,USD,THB,31.205
2026-02-23,08:40,USD,TRY,43.846
2026-02-23,08:40,USD,ZAR,16.0973
2026-02-23,11:38,USD,AUD,1.419
2026-02-23,11:38,USD,BRL,5.2144
2026-02-23,11:38,USD,CAD,1.3693
2026-02-23,11:38,USD,CHF,0.77607
2026-02-23,11:38,USD,CNY,6.9086
2026-02-23,11:38,USD,CZK,20.601
2026-02-23,11:38,USD,DKK,6.3496
2026-02-23,11:38,USD,EUR,0.84983
2026-02-23,11:38,USD,GBP,0.74174
2026-02-23,11:38,USD,HKD,7.8152
2026-02-23,11:38,USD,HUF,322.64
2026-02-23,11:38,USD,IDR,16889
2026-02-23,11:38,USD,ILS,3.1259
2026-02-23,11:38,USD,INR,90.95
2026-02-23,11:38,USD,ISK,123.14
2026-02-23,11:38,USD,JPY,155.21
2026-02-23,11:38,USD,KRW,1449.66
2026-02-23,11:38,USD,MXN,17.2006
2026-02-23,11:38,USD,MYR,3.903
2026-02-23,11:38,USD,NOK,9.564
2026-02-23,11:38,USD,NZD,1.6795
